run_id,scenario_id,variant,product,repetition,prompt_path,prompt_sha256,status,attempts,started_at,completed_at,output_path,capture_metadata_path,failure_reason
w4__s3_permit_handoff_88k__neutral__copilot__r2,s3_permit_handoff_88k,neutral,copilot,2,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:13:53.387Z,2026-08-30T19:15:03.879Z,outputs/w4__s3_permit_handoff_88k__neutral__copilot__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__copilot__r2.json,
w4__s3_permit_handoff_88k__neutral__gemini__r1,s3_permit_handoff_88k,neutral,gemini,1,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:12:17.418Z,2026-08-30T19:13:36.136Z,outputs/w4__s3_permit_handoff_88k__neutral__gemini__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__gemini__r1.json,
w4__s3_permit_handoff_88k__neutral__gemini__r2,s3_permit_handoff_88k,neutral,gemini,2,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,usable,1,2026-08-30T19:13:53.387Z,2026-08-30T19:15:03.894Z,outputs/w4__s3_permit_handoff_88k__neutral__gemini__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__neutral__gemini__r2.json,
w4__s3_permit_handoff_88k__pressure__chatgpt__r1,s3_permit_handoff_88k,pressure,chatgpt,1,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:15:20.353Z,2026-08-30T19:16:52.046Z,outputs/w4__s3_permit_handoff_88k__pressure__chatgpt__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__chatgpt__r1.json,
w4__s3_permit_handoff_88k__pressure__chatgpt__r2,s3_permit_handoff_88k,pressure,chatgpt,2,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:17:10.201Z,2026-08-30T19:19:58.267Z,outputs/w4__s3_permit_handoff_88k__pressure__chatgpt__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__chatgpt__r2.json,
w4__s3_permit_handoff_88k__pressure__claude__r1,s3_permit_handoff_88k,pressure,claude,1,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:15:20.353Z,2026-08-30T19:16:52.023Z,outputs/w4__s3_permit_handoff_88k__pressure__claude__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__claude__r1.json,
w4__s3_permit_handoff_88k__pressure__claude__r2,s3_permit_handoff_88k,pressure,claude,2,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,2,2026-08-30T19:29:48.266Z,2026-08-30T19:32:04.297Z,outputs/w4__s3_permit_handoff_88k__pressure__claude__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__claude__r2.json,
w4__s3_permit_handoff_88k__pressure__copilot__r1,s3_permit_handoff_88k,pressure,copilot,1,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:15:20.353Z,2026-08-30T19:16:52.039Z,outputs/w4__s3_permit_handoff_88k__pressure__copilot__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__copilot__r1.json,
w4__s3_permit_handoff_88k__pressure__copilot__r2,s3_permit_handoff_88k,pressure,copilot,2,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:17:10.201Z,2026-08-30T19:19:58.252Z,outputs/w4__s3_permit_handoff_88k__pressure__copilot__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__copilot__r2.json,
w4__s3_permit_handoff_88k__pressure__gemini__r1,s3_permit_handoff_88k,pressure,gemini,1,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:15:20.353Z,2026-08-30T19:16:52.053Z,outputs/w4__s3_permit_handoff_88k__pressure__gemini__r1.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__gemini__r1.json,
w4__s3_permit_handoff_88k__pressure__gemini__r2,s3_permit_handoff_88k,pressure,gemini,2,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,usable,1,2026-08-30T19:17:10.201Z,2026-08-30T19:19:58.273Z,outputs/w4__s3_permit_handoff_88k__pressure__gemini__r2.txt,capture_metadata/w4__s3_permit_handoff_88k__pressure__gemini__r2.json,
